,species,density
902,Ficus virens,0.34
903,Ficus watkinsiana,0.37
904,Filicium,0.88
905,Filicium decipiens,0.88
906,Firmiana,0.44
907,Firmiana simplex,0.44
908,Fitzroya,0.43
909,Fitzroya cupressoides,0.43
910,Flacourtia,0.74
911,Flacourtia indica,0.74
912,Flacourtia inermis,0.72
913,Flacourtia rukam,0.75
914,Flindersia,0.67
915,Flindersia australis,0.8
916,Flindersia bennettiana,0.68
917,Flindersia brayleyana,0.48
918,Flindersia maculosa,0.83
919,Flindersia schottiana,0.58
920,Frangula,0.5
921,Frangula alnus,0.5
922,Frangula purshiana,0.5
923,Fraxinus,0.53
924,Fraxinus americana,0.55
925,Fraxinus angustifolia,0.51
926,Fraxinus chinensis,0.56
927,Fraxinus excelsior,0.57
928,Fraxinus griffithii,0.6
929,Fraxinus holotricha,0.51
930,Fraxinus latifolia,0.5
931,Fraxinus mandshurica,0.55
932,Fraxinus nigra,0.45
933,Fraxinus pennsylvanica,0.53
934,Fraxinus profunda,0.48
935,Fraxinus quadrangulata,0.53
936,Fraxinus uhdei,0.51
937,Fraxinus velutina,0.51
938,Gallesia,0.55
939,Gallesia integrifolia,0.55
940,Ganophyllum,0.71
941,Ganophyllum falcatum,0.71
942,Garcinia,0.76
943,Garcinia dulcis,0.72
944,Garcinia madruno,0.73
945,Garcinia mangostana,0.81
946,Garcinia myrtifolia,0.75
947,Garcinia xanthochymus,0.78
948,Geijera,0.77
949,Geijera parviflora,0.77
950,Genipa,0.75
951,Genipa americana,0.63
952,Ginkgo,0.49
953,Ginkgo biloba,0.49
954,Gleditsia,0.6
955,Gleditsia triacanthos,0.6
956,Gliricidia,0.58
957,Gliricidia sepium,0.58
958,Glycosmis,0.44
959,Glycosmis parviflora,0.44
960,Gmelina,0.41
961,Gmelina arborea,0.34
962,Gmelina leichardtii,0.47
963,Gochnatia,0.76
964,Gochnatia polymorpha,0.76
965,Grevillea,0.72
966,Grevillea baileyana,0.8
967,Grevillea hilliana,0.84
968,Grevillea nematophylla,0.66
969,Grevillea robusta,0.52
970,Grevillea striata,0.8
971,Grewia,0.46
972,Grewia crenata,0.46
973,Griselinia,0.63
974,Griselinia littoralis,0.63
975,Guaiacum,1.18
976,Guaiacum officinale,1.18
977,Guapira,0.83
978,Guapira opposita,0.83
979,Guarea,0.52
980,Guarea glabra,0.48
981,Guarea guidonia,0.61
982,Guarea kunthiana,0.62
983,Guarea macrophylla,0.65
984,Guatteria,0.36
985,Guatteria blainii,0.8
986,Guatteria caribaea,0.8
987,Guatteria nigrescens,0.59
988,Guazuma,0.59
989,Guazuma crinita,0.64
990,Guazuma ulmifolia,0.53
991,Guettarda,0.69
992,Guettarda elliptica,0.8
993,Guettarda scabra,0.73
994,Guettarda speciosa,0.59
995,Guettarda valenzuelana,0.65
996,Gymnanthes,1.1
997,Gymnanthes lucida,1.1
998,Gymnocladus,0.53
999,Gymnocladus dioicus,0.53
1000,Gyrocarpus,0.24
1001,Gyrocarpus americanus,0.24
1002,Haematoxylum,0.93
1003,Haematoxylum brasiletto,0.92
1004,Haematoxylum campechianum,0.93
1005,Hakea,0.78
1006,Hakea francisiana,0.68
1007,Hakea leucoptera,0.81
1008,Hakea lorea,0.85
1009,Halesia,0.42
1010,Halesia carolina,0.42
1011,Hamamelis,0.56
1012,Hamamelis virginiana,0.56
1013,Harpullia,0.65
1014,Harpullia arborea,0.54
1015,Harpullia pendula,0.76
1016,Heliocarpus,0.24
1017,Heliocarpus popayanensis,0.24
1018,Henriettea,0.74
1019,Henriettea squamulosa,0.74
1020,Heritiera,0.85
1021,Heritiera littoralis,0.85
1022,Hernandia,0.28
1023,Hernandia sonora,0.28
1024,Heteropanax,0.34
1025,Heteropanax fragrans,0.34
1026,Heterotrichum,0.6
1027,Heterotrichum cymosum,0.6
1028,Hevea,0.47
1029,Hevea brasiliensis,0.47
1030,Hibiscus,0.58
1031,Hibiscus elatus,0.6
1032,Hibiscus speciosissimus,0.7
1033,Hibiscus tiliaceus,0.45
1034,Hieronyma,0.64
1035,Hieronyma alchorneoides,0.64
1036,Hippomane,0.5
1037,Hippomane mancinella,0.5
1038,Hirtella,0.82
1039,Hirtella rugosa,0.9
1040,Hirtella triandra,0.73
1041,Holodiscus,0.71
1042,Holodiscus discolor,0.71
1043,Homalium,0.79
1044,Homalium racemosum,0.79
1045,Hopea,0.64
1046,Hopea odorata,0.64
1047,Hovenia,0.54
1048,Hovenia dulcis,0.54
1049,Hura,0.37
1050,Hura crepitans,0.37
1051,Hymenaea,0.77
1052,Hymenaea courbaril,0.77
1053,Hymenosporum,0.61
1054,Hymenosporum flavum,0.61
1055,Ilex,0.62
1056,Ilex aquifolium,0.65
1057,Ilex chinensis,0.63
1058,Ilex opaca,0.5
1059,Ilex paraguariensis,0.57
1060,Ilex sideroxyloides,0.77
1061,Inga,0.58
1062,Inga cylindrica,0.48
1063,Inga edulis,0.63
1064,Inga ingoides,0.5
1065,Inga laurina,0.65
1066,Inga marginata,0.58
1067,Inga nobilis,0.56
1068,Inga uraguensis,0.63
1069,Inga vera,0.58
1070,Inocarpus,0.5
1071,Inocarpus fagifer,0.5
1072,Intsia,0.71
1073,Intsia bijuga,0.71
1074,Ixora,0.96
1075,Ixora pavetta,0.96
1076,Jacaranda,0.49
1077,Jacaranda micrantha,0.48
1078,Jacaranda mimosifolia,0.49
1079,Jagera,0.68
1080,Jagera pseudorhus,0.68
1081,Jatropha,0.17
1082,Jatropha curcas,0.17
1083,Joannesia,0.52
1084,Joannesia princeps,0.52
1085,Juglans,0.46
1086,Juglans ailanthifolia,0.36
1087,Juglans cinerea,0.36
1088,Juglans mandshurica,0.44
1089,Juglans microcarpa,0.53
1090,Juglans nigra,0.51
1091,Juglans regia,0.56
1092,Juniperus,0.48
1093,Juniperus chinensis,0.52
1094,Juniperus communis,0.52
1095,Juniperus deppeana,0.48
1096,Juniperus virginiana,0.44
1097,Juniperus virginiana v. silicicola,0.42
1098,Kalmia,0.62
1099,Kalmia latifolia,0.62
1100,Kalopanax,0.39
1101,Kalopanax septemlobus,0.39
1102,Khaya,0.55
1103,Khaya anthotheca,0.49
1104,Khaya grandifoliola,0.53
1105,Khaya senegalensis,0.63
1106,Kigelia,0.56
1107,Kigelia africana,0.56
1108,Kleinhovia,0.43
1109,Kleinhovia hospita,0.43
1110,Koelreuteria,0.6
1111,Koelreuteria bipinnata,0.57
1112,Koelreuteria elegans,0.6
1113,Koelreuteria paniculata,0.62
1114,Krugiodendron,1.15
1115,Krugiodendron ferreum,1.15
1116,Kunzea,0.77
1117,Kunzea ericoides,0.77
1118,Laetia,0.65
1119,Laetia procera,0.65
1120,Lagarostrobos,0.46
1121,Lagarostrobos franklinii,0.46
1122,Lagerstroemia,0.57
1123,Lagerstroemia indica,0.57
1124,Lagerstroemia speciosa,0.61
1125,Laguncularia,0.61
1126,Laguncularia racemosa,0.61
1127,Lansium,0.7
1128,Lansium domesticum,0.7
1129,Larix,0.45
1130,Larix decidua,0.47
1131,Larix kaempferi,0.41
1132,Larix laricina,0.49
1133,Larix leptolepis,0.45
1134,Larix occidentalis,0.48
1135,Larix potaninii,0.42
1136,Lecythis,0.94
1137,Lecythis lanceolata,1.01
1138,Lecythis pisonis,0.86
1139,Leptospermum,0.81
1140,Leptospermum lanigerum,0.56
1141,"Leptospermum polygalifolium ssp.
polygalifolium",0.84
1142,Leptospermum scoparium,1.03
1143,Leucaena,0.61
1144,Leucaena leucocephala,0.69
1145,Leucaena pulverulenta,0.52
1146,Licania,0.78
1147,Licania kunthiana,0.88
1148,Licania tomentosa,0.98
1149,Licaria,0.82
1150,Licaria parvifolia,0.8
1151,Licaria triandra,0.9
1152,Ligustrum,0.72
1153,Ligustrum lucidum,0.63
1154,Ligustrum vulgare,0.8
1155,Liquidambar,0.48
1156,Liquidambar formosana,0.49
1157,Liquidambar styraciflua,0.46
1158,Liriodendron,0.42
1159,Liriodendron chinense,0.47
1160,Liriodendron tulipifera,0.38
1161,Litchi,0.85
1162,Litchi chinensis,0.85
1163,Lonchocarpus,0.69
1164,Lonchocarpus heptaphyllus,0.69
1165,Lonchocarpus muehlbergianus,0.66
1166,Lophostemon,0.72
1167,Lophostemon confertus,0.75
1168,Lophostemon suaveolens,0.68
1169,Loropetalum,0.81
1170,Loropetalum chinense,0.81
1171,Luehea,0.5
1172,Luehea divaricata,0.56
1173,Lumnitzera,0.69
1174,Lumnitzera littorea,0.69
1175,Lysidice,0.52
1176,Lysidice rhodostegia,0.52
1177,Lysiloma,0.71
1178,Lysiloma bahamensis,0.6
1179,Lysiloma latisiliquum,0.62
1180,Lysiloma microphylla,0.92
1181,Macadamia,0.9
1182,Macadamia integrifolia,0.9
1183,Macaranga,0.37
1184,Macaranga mappa,0.27
1185,Macaranga tanarius,0.46
1186,Machaerium,0.7
1187,Machaerium aculeatum,0.24
1188,Machaerium incorruptibile,0.95
1189,Machaerium isadelphum,0.66
1190,Machaerium lunatum,0.24
1191,Machaerium tipu,0.59
1192,Machilus,0.47
1193,Machilus thunbergii,0.47
1194,Maclura,0.76
1195,Maclura pomifera,0.76
1196,Maclura tinctoria,0.75
1197,Maesopsis,0.38
1198,Maesopsis eminii,0.38
1199,Magnolia,0.52
1200,Magnolia acuminata,0.44
1201,Magnolia denudata,0.44
1202,Magnolia fraseri,0.4
1203,Magnolia grandiflora,0.42
1204,Magnolia ovata,0.52
1205,Magnolia portoricensis,0.7
1206,Magnolia splendens,0.59
1207,Magnolia virginiana,0.42
1208,Mallotus,0.6
1209,Mallotus philippensis,0.6
1210,Malouetia,0.58
1211,Malouetia cestroides,0.58
1212,Malus,0.61
1213,Malus angustifolia,0.61
1214,Malus baccata,0.56
1215,Malus pumila,0.65
1216,Mammea,0.63
1217,Mammea americana,0.63
1218,Mangifera,0.51
1219,Mangifera indica,0.55
1220,Mangifera odorata,0.47
1221,Manilkara,0.84
1222,Manilkara bidentata,0.87
1223,Manilkara zapota,0.81
1224,Maranthes,0.8
1225,Maranthes corymbosa,0.8
1226,Margaritaria,0.62
1227,Margaritaria nobilis,0.62
1228,Markhamia,0.47
1229,Markhamia lutea,0.47
1230,Matayba,0.76
1231,Matayba domingensis,0.7
1232,Matayba guianensis,0.82
1233,Matisia,0.37
1234,Matisia cordata,0.37
1235,Maytenus,0.71
1236,Maytenus boaria,0.62
1237,Maytenus ilicifolia,0.72
1238,Maytenus obtusifolia,0.75
1239,Maytenus robusta,0.77
1240,Melaleuca,0.73
1241,Melaleuca argentea,0.87
1242,Melaleuca bracteata,0.87
1243,Melaleuca glomerata,0.67
1244,Melaleuca linariifolia,0.68
1245,Melaleuca quinquenervia,0.58
1246,Melanococca,0.37
1247,Melanococca tomentosa,0.37
1248,Melanolepis,0.34
1249,Melanolepis multiglandulosa,0.34
1250,Melastoma,0.44
1251,Melastoma malabathricum,0.44
1252,Melia,0.44
1253,Melia azedarach,0.44
1254,Melicope,0.52
1255,Melicope elleryana,0.52
1256,Meliosma,0.42
1257,Meliosma herbertii,0.42
1258,Melochia,0.32
1259,Melochia umbellata,0.32
1260,Metasequoia,0.28
1261,Metasequoia glyptostroboides,0.28
1262,Metopium,0.51
1263,Metopium toxiferum,0.51
1264,Metrosideros,0.85
1265,Metrosideros excelsa,1.15
1266,Metrosideros polymorpha,0.76
1267,Metrosideros robusta,0.65
1268,Michelia,0.53
1269,Michelia champaca,0.53
1270,Miconia,0.64
1271,Miconia calvescens,0.42
1272,Miconia cinnamomifolia,0.73
1273,Miconia mirabilis,0.6
1274,Miconia prasina,0.7
1275,Miconia splendens,0.69
1276,Miconia tetrandra,0.7
1277,Micropholis,0.65
1278,Micropholis garciniifolia,0.64
1279,Micropholis guyanensis,0.66
1280,Mimosa,0.82
1281,Mimosa arenosa,1.01
1282,Mimosa artemisiana,0.91
1283,Mimosa bimucronata,0.61
1284,Mimosa pigra,0.73
1285,Mimusops,0.85
1286,Mimusops elengi,0.85
1287,Morella,0.68
1288,Morella faya,0.66
1289,Morella rubra,0.7
1290,Morinda,0.63
1291,Morinda citrifolia,0.63
1292,Moringa,0.26
1293,Moringa oleifera,0.26
1294,Morisonia,0.88
1295,Morisonia americana,0.88
1296,Morus,0.52
1297,Morus alba,0.55
1298,Morus nigra,0.52
1299,Muntingia,0.3
1300,Muntingia calabura,0.3
1301,Murraya paniculata,0.87
1302,Myoporum,0.88
1303,Myoporum platycarpum,0.88
1304,Myrcia,0.85
1305,Myrcia deflexa,0.8
1306,Myrcia fallax,0.82
1307,Myrcia splendens,0.8
1308,Myrcia tomentosa,0.96
1309,Myrciaria,0.77
1310,Myrciaria floribunda,0.77
1311,Myristica,0.46
1312,Myristica insipida,0.48
1313,Myrocarpus,0.8
1314,Myrocarpus frondosus,0.8
1315,Myrospermum,0.83
1316,Myrospermum frutescens,0.83
1317,Myroxylon,0.81
1318,Myroxylon balsamum,0.78
1319,Myroxylon peruiferum,0.83
1320,Myrsine,0.7
1321,Myrsine australis,0.75
1322,Myrsine coriacea,0.65
1323,Nauclea,0.48
1324,Nauclea orientalis,0.48
1325,Nectandra,0.52
1326,Nectandra hihua,0.42
1327,Nectandra krugii,0.5
1328,Nectandra rigida,0.59
1329,Nectandra turbacensis,0.55
1330,Nephelium,0.71
1331,Nephelium lappaceum,0.71
1332,Nerium,0.6
1333,Nerium oleander,0.6
1334,Neuburgia,0.34
1335,Neuburgia celebica,0.34
1336,Notelaea,0.87
1337,Notelaea longifolia,0.87
1338,Nothofagus,0.56
1339,Nothofagus alpina,0.55
1340,Nothofagus antarctica,0.52
1341,Nothofagus cunninghamii,0.6
1342,Nothofagus dombeyi,0.56
1343,Nothofagus fusca,0.62
1344,Nothofagus obliqua,0.56
1345,Nothofagus pumilio,0.48
1346,Notholithocarpus,0.58
1347,Notholithocarpus densiflorus,0.58
1348,Nyctanthes,0.88
1349,Nyctanthes arbor-tristis,0.88
1350,Nyssa,0.51
1351,Nyssa aquatica,0.46
1352,Nyssa sinensis,0.6
1353,Nyssa sylvatica,0.46
1354,Ochroma,0.15
1355,Ochroma pyramidale,0.15
1356,Ocotea,0.51
1357,Ocotea floribunda,0.4
1358,Ocotea leucoxylon,0.46
1359,Ocotea moschata,0.6
1360,Ocotea spathulata,0.62
1361,Olea,0.76
1362,Olea europaea,0.76
1363,Ormosia,0.59
1364,Ormosia arborea,0.7
1365,Ormosia krugii,0.5
1366,Osmanthus,0.84
1367,Osmanthus fragrans,0.84
1368,Ostrya,0.63
1369,Ostrya virginiana,0.63
1370,Oxandra,0.81
1371,Oxandra lanceolata,0.81
1372,Oxydendrum,0.5
1373,Oxydendrum arboreum,0.5
1374,Pachira,0.4
1375,Pachira aquatica,0.38
1376,Pachira insignis,0.39
1377,Pachira quinata,0.42
1378,Palaquium,0.52
1379,Palaquium bataanense,0.52
1380,Palicourea,0.55
1381,Palicourea crocea,0.56
1382,Palicourea guianensis,0.54
1383,Pangium,0.5
1384,Pangium edule,0.5
1385,Parapiptadenia,1.07
1386,Parapiptadenia rigida,1.07
1387,Parinari,0.69
1388,Parinari pachyphylla,0.69
1389,Parkia,0.44
1390,Parkia pendula,0.53
1391,Parkia timoriana,0.34
1392,Parkinsonia,0.61
1393,Parkinsonia aculeata,0.61
1394,Parkinsonia florida,0.62
1395,Parkinsonia praecox,0.6
1396,Paulownia,0.27
1397,Paulownia fortunei,0.26
1398,Paulownia tomentosa,0.28
1399,Peltogyne,0.8
1400,Peltogyne angustiflora,0.8
1401,Peltophorum,0.65
1402,Peltophorum dubium,0.74
1403,Peltophorum pterocarpum,0.56
1404,Pemphis,0.94
1405,Pemphis acidula,0.94
1406,Pentadesma,0.81
1407,Pentadesma butyracea,0.81
1408,Pera,0.67
1409,Pera glabrata,0.67
1410,Pericopsis,0.7
1411,Pericopsis mooniana,0.7
1412,Persea,0.52
1413,Persea americana,0.55
1414,Persea caerulea,0.42
1415,Persea indica,0.43
1416,Persea lingue,0.45
1417,Persoonia,0.78
1418,Persoonia falcata,0.78
1419,Petalostigma,0.91
1420,Petalostigma pubescens,0.91
1421,Petitia,0.66
1422,Petitia domingensis,0.66
1423,Phellodendron,0.39
1424,Phellodendron amurense,0.39
1425,Phoenix,0.37
1426,Phoenix canariensis,0.37
1427,Phoenix dactylifera,0.37
1428,Photinia,0.79
1429,Photinia serratifolia,0.79
1430,Phyllanthus,0.61
1431,Phyllanthus acidus,0.6
1432,Phyllanthus emblica,0.64
1433,Phyllanthus ferdinandi,0.59
1434,Phytolacca,0.26
1435,Phytolacca dioica,0.26
1436,Picea,0.37
1437,Picea abies,0.37
1438,Picea asperata,0.31
1439,Picea brachytyla,0.44
1440,Picea engelmannii,0.33
1441,Picea glauca,0.33
1442,Picea jezoensis,0.39
1443,Picea koraiensis,0.36
1444,Picea likiangensis,0.37
1445,Picea mariana,0.38
1446,Picea pungens,0.36
1447,Picea rubens,0.37
1448,Picea sitchensis,0.37
1449,Picea smithiana,0.44
1450,Pictetia,0.8
1451,Pictetia aculeata,0.8
1452,Pimenta,0.93
1453,Pimenta dioica,0.96
1454,Pimenta racemosa,0.9
1455,Pinus,0.44
1456,Pinus armandii,0.37
1457,Pinus banksiana,0.4
1458,Pinus brutia,0.43
1459,Pinus bungeana,0.42
1460,Pinus canariensis,0.61
1461,Pinus caribaea,0.57
1462,Pinus clausa,0.46
1463,Pinus contorta,0.38
1464,Pinus contorta v. bolanderi,0.38
1465,Pinus densiflora,0.41
1466,Pinus echinata,0.47
1467,Pinus edulis,0.5
1468,Pinus eldarica,0.54
1469,Pinus elliottii,0.54
1470,Pinus flexilis,0.37
1471,Pinus glabra,0.41
1472,Pinus halepensis,0.46
1473,Pinus jeffreyi,0.37
1474,Pinus kesiya,0.47
1475,Pinus koraiensis,0.38
1476,Pinus lambertiana,0.34
1477,Pinus leiophylla,0.46
1478,Pinus massoniana,0.48
1479,Pinus merkusii,0.53
1480,Pinus monticola,0.35
1481,Pinus nigra,0.43
1482,Pinus oocarpa,0.58
1483,Pinus palustris,0.54
1484,Pinus patula,0.45
1485,Pinus pinaster,0.41
1486,Pinus pinea,0.5
1487,Pinus ponderosa,0.38
1488,Pinus pungens,0.49
1489,Pinus radiata,0.4
1490,Pinus resinosa,0.41
1491,Pinus rigida,0.47
1492,Pinus roxburghii,0.33
1493,Pinus serotina,0.51
1494,Pinus strobus,0.34
1495,Pinus sylvestris,0.42
1496,Pinus tabulaeformis,0.36
1497,Pinus taeda,0.47
1498,Pinus thunbergiana,0.44
1499,Pinus uncinata,0.41
1500,Pinus virginiana,0.45
1501,Pinus wallichiana,0.38
1502,Pinus yunnanensis,0.5
1503,Piptadenia,0.7
1504,Piptadenia gonoacantha,0.7
1505,Piscidia,0.8
1506,Piscidia carthagenensis,0.8
1507,Pisonia,0.39
1508,Pisonia subcordata,0.5
1509,Pisonia umbellifera,0.28
1510,Pistacia,0.68
1511,Pistacia chinensis,0.68
1512,Pithecellobium,0.73
1513,Pithecellobium dulce,0.73
1514,Pittosporum,0.62
1515,Pittosporum angustifolium,0.68
1516,Pittosporum ferrugineum,0.51
1517,Pittosporum pentandrum,0.54
1518,Pittosporum undulatum,0.74
1519,Pittosporum viridiflorum,0.63
1520,Planchonella,0.86
1521,Planchonella obovata,0.86
1522,Platanus,0.48
1523,Platanus occidentalis,0.45
1524,Platanus orientalis,0.48
1525,Platanus racemosa,0.48
1526,Platanus x hybrida,0.53
1527,Plathymenia,0.5
1528,Plathymenia reticulata,0.5
1529,Platycladus,0.52
1530,Platycladus orientalis,0.52
1531,Platycyamus,0.81
1532,Platycyamus regnellii,0.81
1533,Platymiscium,0.84
1534,Platymiscium floribundum,0.89
1535,Platymiscium pinnatum,0.72
1536,Platypodium,0.81
1537,Platypodium elegans,0.81
1538,Pleroma,0.66
1539,Pleroma mutabile,0.66
1540,Plumeria,0.65
1541,Plumeria alba,0.8
1542,Plumeria rubra,0.5
1543,Podocarpus,0.46
1544,Podocarpus coriaceus,0.7
1545,Podocarpus elatus,0.48
1546,Podocarpus macrophyllus,0.47
1547,Podocarpus nagi,0.44
1548,Podocarpus totara,0.45
1549,Polyalthia,0.58
1550,Polyalthia australis,0.6
1551,Polyalthia longifolia,0.56
1552,Polyscias,0.41
1553,Polyscias elegans,0.41
1554,Pongamia,0.6
1555,Pongamia indica,0.6
1556,Populus,0.36
1557,Populus alba,0.35
1558,Populus angustifolia,0.35
1559,Populus balsamifera,0.31
1560,Populus balsamifera ssp. trichocarp,0.31
1561,Populus davidiana,0.4
1562,Populus deltoides,0.39
1563,Populus deltoides ssp. monilifera,0.37
1564,Populus fremontii,0.41
1565,Populus grandidentata,0.36
1566,Populus koreana,0.33
1567,Populus lasiocarpa,0.41
1568,Populus maximowiczii,0.31
1569,Populus nigra,0.35
1570,Populus simonii,0.32
1571,Populus tomentosa,0.45
1572,Populus tremula,0.37
1573,Populus tremuloides,0.35
1574,Populus x canadensis,0.35
1575,Populus yunnanensis,0.34
1576,Posoqueria,0.64
1577,Posoqueria acutifolia,0.7
1578,Posoqueria latifolia,0.57
1579,Pouteria,0.67
1580,Pouteria caimito,0.82
1581,Pouteria campechiana,0.79
1582,Pouteria multiflora,0.75
1583,Pouteria obovata,0.72
1584,Pouteria sapota,0.86
1585,Pouteria torta,0.77
1586,Prockia,0.58
1587,Prockia crucis,0.58
1588,Prosopis,0.75
1589,Prosopis alba,0.67
1590,Prosopis alpataco,0.67
1591,Prosopis caldenia,0.58
1592,Prosopis chilensis,0.74
1593,Prosopis cineraria,0.66
1594,Prosopis glandulosa,0.71
1595,Prosopis juliflora,0.78
1596,Prosopis kuntzei,1.01
1597,Prosopis pallida,0.88
1598,Prosopis ruscifolia,0.79
1599,Prosopis velutina,0.79
1600,Protium,0.62
1601,Protium heptaphyllum,0.62
1602,Prunus,0.56
1603,Prunus armeniaca,0.68
1604,Prunus avium,0.47
1605,Prunus caroliniana,0.56
1606,Prunus cerasifera,0.47
1607,Prunus ilicifolia,0.73
1608,Prunus lusitanica,0.61
1609,Prunus myrtifolia,0.74
1610,Prunus occidentalis,0.97
1611,Prunus padus,0.46
1612,Prunus pensylvanica,0.36
1613,Prunus serotina,0.47
1614,Prunus serrula,0.92
1615,Prunus serrulata,0.56
1616,Prunus x yedoensis,0.47
1617,Pseudobombax,0.31
1618,Pseudobombax ellipticum,0.34
1619,Pseudobombax grandiflorum,0.39
1620,Pseudobombax septenatum,0.21
1621,Pseudolarix,0.42
1622,Pseudolarix amabilis,0.42
1623,Pseudolmedia,0.75
1624,Pseudolmedia spuria,0.75
1625,Pseudotsuga,0.44
1626,Pseudotsuga menziesii,0.44
1627,Psidium,0.93
1628,Psidium cattleianum,1.12
1629,Psidium guajava,0.74
1630,Pterocarpus,0.44
1631,Pterocarpus indicus,0.64
1632,Pterocarpus macrocarpus,0.7
1633,Pterocarpus marsupium,0.62
1634,Pterocarpus officinalis,0.38
1635,Pterocarpus rohrii,0.46
1636,Pterocarya,0.35
1637,Pterocarya stenoptera,0.35
1638,Punica,0.77
1639,Punica granatum,0.77
1640,Putranjiva,0.67
1641,Putranjiva roxburghii,0.67
1642,Pyrus,0.6
1643,Pyrus calleryana,0.6
1644,Pyrus communis,0.63
1645,Pyrus kawakamii,0.6
1646,Quadrella,0.68
1647,Quadrella indica,0.68
1648,Quassia,0.4
1649,Quassia amara,0.47
1650,Quassia indica,0.33
1651,Quercus,0.7
1652,Quercus acutissima,0.73
1653,Quercus agrifolia,0.59
1654,Quercus alba,0.62
1655,Quercus aliena,0.69
1656,Quercus austrina,0.75
1657,Quercus bicolor,0.66
1658,Quercus cerris,0.7
1659,Quercus chapmanii,0.78
1660,Quercus coccinea,0.62
1661,Quercus falcata,0.58
1662,Quercus gambelii,0.62
1663,Quercus garryana,0.64
1664,Quercus ilex,0.82
1665,Quercus incana,0.71
1666,Quercus kelloggii,0.51
1667,Quercus laceyi,0.8
1668,Quercus laevis,0.64
1669,Quercus laurifolia,0.63
1670,Quercus lobata,0.55
1671,Quercus lyrata,0.57
1672,Quercus macrocarpa,0.58
1673,Quercus margarettae,0.76
1674,Quercus michauxii,0.65
1675,Quercus minima,0.89
1676,Quercus mongolica,0.64
1677,Quercus myrtifolia,0.81
1678,Quercus nigra,0.6
1679,Quercus palustris,0.58
1680,Quercus petraea,0.57
1681,Quercus phellos,0.56
1682,Quercus pumila,0.71
1683,Quercus pyrenaica,0.84
1684,Quercus robur,0.57
1685,Quercus rubra,0.56
1686,Quercus serrata ssp. serrata,0.7
1687,Quercus shumardii,0.62
1688,Quercus stellata,0.66
1689,Quercus variabilis,0.76
1690,Quercus velutina,0.56
1691,Quercus virginiana,0.8
1692,Quercus x ganderi,0.64
1693,Radermachera,0.63
1694,Radermachera sinica,0.63
1695,Randia,0.67
1696,Randia armata,0.67
1697,Rapanea,0.86
1698,Rapanea umbellata,0.86
1699,Ravenia,0.9
1700,Ravenia urbanii,0.9
1701,Reutealis,0.43
1702,Reutealis trisperma,0.43
1703,Rhamnus,0.64
1704,Rhamnus cathartica,0.61
1705,Rhamnus crocea,0.75
1706,Rhamnus davurica,0.55
1707,Rhizophora,0.85
1708,Rhizophora apiculata,0.84
1709,Rhizophora mangle,0.91
1710,Rhizophora mucronata,0.81
1711,Rhodamnia,0.64
1712,Rhodamnia rubescens,0.64
1713,Rhododendron,0.5
1714,Rhododendron arboreum,0.49
1715,Rhododendron maximum,0.5
1716,Rhus,0.45
1717,Rhus typhina,0.45
1718,Ribes,0.73
1719,Ribes californicum,0.73
1720,Robinia,0.67
1721,Robinia pseudoacacia,0.67
1722,Rollinia,0.36
1723,Rollinia mucosa,0.32
1724,Roseodendron,0.43
1725,Roseodendron donnell-smithii,0.43
1726,Roupala,0.85
1727,Roupala montana,0.78
1728,Roupala montana v. brasiliensis,0.91
1729,Ruprechtia,0.66
1730,Ruprechtia apetala,0.66
1731,Sabal,0.52
1732,Sabal palmetto,0.52
1733,Salix,0.39
1734,Salix alba,0.28
1735,Salix babylonica v. matsudana,0.47
1736,Salix caprea,0.4
1737,Salix fragilis,0.36
1738,Salix humboldtiana,0.41
1739,Salix lucida ssp. lasiandra,0.39
1740,Salix nigra,0.36
1741,Salix purpurea,0.46
1742,Salix x sepulcralis,0.42
1743,Samanea,0.51
1744,Samanea saman,0.51
1745,Sambucus,0.45
1746,Sambucus canadensis,0.45
1747,Sandoricum,0.47
1748,Sandoricum koetjape,0.47
1749,Santalum,0.69
1750,Santalum acuminatum,0.68
1751,Santalum lanceolatum,0.78
1752,Santalum murrayanum,0.62
1753,Sapindus,0.7
1754,Sapindus mukorossi,0.7
1755,Sapindus saponaria,0.69
1756,Sapium,0.72
1757,Sapium caribaeum,0.42
1758,Sapium glandulosum,0.44
1759,Sapium laurifolium,0.45
1760,Sapium laurocerasus,0.38
1761,Sarcomelicope,0.76
1762,Sarcomelicope simplicifolia,0.76
1763,Sassafras,0.48
1764,Sassafras albidum,0.48
1765,Saxegothaea,0.52
1766,Saxegothaea conspicua,0.52
1767,Schefflera,0.41
1768,Schefflera actinophylla,0.41
1769,Schima,0.54
1770,Schima superba,0.54
1771,Schinus,0.62
1772,Schinus molle,0.59
1773,Schinus terebinthifolia,0.65
1774,Schizolobium,0.36
1775,Schizolobium parahyba,0.41
1776,Schizolobium parahybum,0.3
1777,Schizomeria,0.54
1778,Schizomeria ovata,0.54
1779,Schleichera,0.9
1780,Schleichera oleosa,0.9
1781,Scolopia,0.83
1782,Scolopia saeva,0.83
1783,Scyphiphora,0.69
1784,Scyphiphora hydrophylacea,0.69
1785,Searsia,0.69
1786,Searsia lancea,0.69
1787,Sebastiania,0.63
1788,Sebastiania commersoniana,0.63
1789,Senegalia,0.95
1790,Senegalia mellifera,0.95
1791,Senna,0.59
1792,Senna atomaria,0.8
1793,Senna multijuga,0.47
