,species,density
213,Artocarpus altilis,0.44
214,Artocarpus heterophyllus,0.53
215,Artocarpus odoratissimus,0.55
216,Aspidosperma,0.78
217,Aspidosperma parvifolium,0.78
218,Astronium,0.85
219,Astronium graveolens,0.85
220,Atherosperma,0.5
221,Atherosperma moschatum,0.5
222,Athrotaxis,0.35
223,Athrotaxis selaginoides,0.35
224,Austrocedrus,0.43
225,Austrocedrus chilensis,0.43
226,Averrhoa,0.54
227,Averrhoa bilimbi,0.5
228,Averrhoa carambola,0.58
229,Avicennia,0.65
230,Avicennia germinans,0.78
231,Avicennia marina,0.52
232,Azadirachta,0.64
233,Azadirachta indica,0.64
234,Baccharis,0.59
235,Baccharis pilularis,0.59
236,Backhousia,0.86
237,Backhousia citriodora,0.83
238,Backhousia myrtifolia,0.88
239,Banksia,0.52
240,Banksia aemula,0.55
241,Banksia integrifolia,0.48
242,Banksia marginata,0.47
243,Banksia serrata,0.57
244,Barringtonia,0.46
245,Barringtonia acutangula,0.52
246,Barringtonia asiatica,0.42
247,Barringtonia racemosa,0.45
248,Bathysa,0.64
249,Bathysa australis,0.64
250,Bauhinia,0.71
251,Bauhinia forficata,0.57
252,Bauhinia forficata ssp. pruinosa,0.53
253,Bauhinia hookeri,1.06
254,Bauhinia purpurea,0.72
255,Bauhinia variegata,0.65
256,Beilschmiedia,0.52
257,Beilschmiedia pendula,0.52
258,Berberis,0.69
259,Berberis vulgaris,0.69
260,Betula,0.53
261,Betula alleghaniensis,0.55
262,Betula costata,0.6
263,Betula lenta,0.6
264,Betula neoalaskana,0.53
265,Betula nigra,0.49
266,Betula papyrifera,0.48
267,Betula pendula,0.52
268,Betula platyphylla,0.52
269,Betula populifolia,0.45
270,Betula pubescens,0.52
271,Betula utilis,0.58
272,Bicuiba,0.61
273,Bicuiba oleifera,0.61
274,Bischofia,0.6
275,Bischofia javanica,0.6
276,Bixa,0.36
277,Bixa orellana,0.36
278,Blepharocalyx,0.74
279,Blepharocalyx salicifolius,0.74
280,Blighia,0.75
281,Blighia sapida,0.75
282,Boehmeria,0.36
283,Boehmeria caudata,0.36
284,Bolusanthus,0.84
285,Bolusanthus speciosus,0.84
286,Bombax,0.31
287,Bombax ceiba,0.31
288,Brachychiton,0.39
289,Brachychiton acerifolius,0.34
290,Brachychiton discolor,0.25
291,Brachychiton diversifolius,0.39
292,Brachychiton gregorii,0.6
293,Brachychiton populneus,0.39
294,Brosimum,0.54
295,Brosimum alicastrum,0.57
296,Brosimum guianense,0.89
297,Broussonetia,0.29
298,Broussonetia papyrifera,0.29
299,Bruguiera,0.76
300,Bruguiera gymnorhiza,0.74
301,Bruguiera parviflora,0.77
302,Buchanania,0.45
303,Buchanania arborescens,0.45
304,Buchenavia,0.6
305,Buchenavia tetraphylla,0.6
306,Bucida,0.87
307,Bucida buceras,0.87
308,Buckinghamia,0.79
309,Buckinghamia celsissima,0.79
310,Buddleja,0.28
311,Buddleja asiatica,0.28
312,Bursera,0.34
313,Bursera graveolens,0.32
314,Bursera simaruba,0.35
315,Butia,0.37
316,Butia capitata,0.37
317,Buxus,0.78
318,Buxus sempervirens,0.78
319,Byrsonima,0.75
320,Byrsonima crassifolia,0.64
321,Byrsonima crispa,0.58
322,Byrsonima laevigata,0.62
323,Byrsonima sericea,0.78
324,Byrsonima spicata,0.62
325,Cabralea,0.54
326,Cabralea canjerana,0.54
327,Caesalpinia,1.05
328,Caesalpinia coriaria,1.12
329,Caesalpinia echinata,0.89
330,Caesalpinia ferrea,1.17
331,Caesalpinia pulcherrima,0.84
332,Caesalpinia sappan,0.84
333,Callicoma,0.5
334,Callicoma serratifolia,0.5
335,Callistemon,0.78
336,Callistemon citrinus,0.75
337,Callistemon phoeniceus,0.85
338,Callistemon salignus,0.84
339,Callistemon viminalis,0.69
340,Callitris,0.57
341,Callitris endlicheri,0.58
342,Callitris glaucophylla,0.61
343,Callitris macleayana,0.5
344,Callitris rhomboidea,0.47
345,Callitris verrucosa,0.68
346,Calocedrus,0.35
347,Calocedrus decurrens,0.35
348,Calodendrum,0.62
349,Calodendrum capense,0.62
350,Calophyllum,0.56
351,Calophyllum antillanum,0.56
352,Calophyllum inophyllum,0.57
353,Calophyllum longifolium,0.54
354,Calycophyllum,0.68
355,Calycophyllum candidissimum,0.68
356,Calyptranthes,0.77
357,Calyptranthes concinna,0.77
358,Camptotheca,0.43
359,Camptotheca acuminata,0.43
360,Cananga,0.33
361,Cananga odorata,0.33
362,Canarium,0.55
363,Canarium australianum,0.53
364,Canarium indicum,0.56
365,Canella,0.9
366,Canella winterana,0.9
367,Capparidastrum,0.48
368,Capparidastrum baducca,0.48
369,Capparis,0.76
370,Capparis mitchellii,0.76
371,Carallia,0.67
372,Carallia brachiata,0.67
373,Carapa,0.53
374,Carapa guianensis,0.53
375,Cariniana,0.57
376,Cariniana estrellensis,0.68
377,Cariniana legalis,0.49
378,Cariniana pyriformis,0.54
379,Carpinus,0.64
380,Carpinus betulus,0.69
381,Carpinus caroliniana,0.58
382,Carya,0.62
383,Carya alba,0.64
384,Carya aquatica,0.61
385,Carya cordiformis,0.6
386,Carya glabra,0.66
387,Carya illinoinensis,0.6
388,Carya laciniosa,0.62
389,Carya myristiciformis,0.56
390,Carya ovata,0.64
391,Casearia,0.67
392,Casearia aculeata,0.66
393,Casearia arborea,0.57
394,Casearia decandra,0.67
395,Casearia guianensis,0.72
396,Casearia nitida,0.67
397,Casearia sylvestris,0.71
398,Cassia,0.77
399,Cassia ferruginea,0.87
400,Cassia fistula,0.9
401,Cassia javanica,0.62
402,Cassia x nealiae,0.67
403,Cassipourea,0.82
404,Cassipourea guianensis,0.82
405,Castanea,0.48
406,Castanea dentata,0.4
407,Castanea mollissima,0.57
408,Castanea sativa,0.46
409,Castanospermum,0.62
410,Castanospermum australe,0.62
411,Castilla,0.57
412,Castilla elastica,0.57
413,Casuarina,0.84
414,Casuarina cristata,0.98
415,Casuarina cunninghamiana,0.7
416,Casuarina equisetifolia,0.77
417,Casuarina glauca,0.77
418,Casuarina pauper,0.97
419,Catalpa,0.51
420,Catalpa bignonioides,0.37
421,Catalpa bungei,0.52
422,Catalpa longissima,0.77
423,Catalpa speciosa,0.38
424,Ceanothus,0.69
425,Ceanothus cuneatus,0.7
426,Ceanothus oliganthus,0.67
427,Cecropia,0.36
428,Cecropia hololeuca,0.43
429,Cecropia obtusifolia,0.31
430,Cecropia pachystachya,0.41
431,Cecropia schreberiana,0.3
432,Cedrela,0.46
433,Cedrela fissilis,0.49
434,Cedrela montana,0.34
435,Cedrela odorata,0.43
436,Cedrus,0.44
437,Cedrus atlantica,0.44
438,Cedrus deodara,0.44
439,Ceiba,0.3
440,Ceiba erianthos,0.2
441,Ceiba pentandra,0.31
442,Ceiba speciosa,0.39
443,Celtis,0.54
444,Celtis australis,0.55
445,Celtis iguanaea,0.66
446,Celtis laevigata,0.48
447,Celtis occidentalis,0.49
448,Celtis paniculata,0.55
449,Celtis sinensis,0.53
450,Celtis tetrandra,0.52
451,Centrolobium,0.75
452,Centrolobium tomentosum,0.75
453,Cephalotaxus,0.53
454,Cephalotaxus fortunei,0.53
455,Ceratonia,0.52
456,Ceratonia siliqua,0.52
457,Ceratopetalum,0.52
458,Ceratopetalum apetalum,0.52
459,Cercidiphyllum,0.43
460,Cercidiphyllum japonicum,0.43
461,Cercis,0.59
462,Cercis canadensis,0.59
463,Cercis siliquastrum,0.6
464,Cercocarpus,0.8
465,Cercocarpus montanus v. glaber,0.8
466,Ceriops,0.84
467,Ceriops tagal,0.84
468,Cespedesia,0.61
469,Cespedesia spathulata,0.61
470,Chamaecyparis,0.42
471,Chamaecyparis lawsoniana,0.4
472,Chamaecyparis nootkatensis,0.42
473,Chamaecyparis obtusa,0.49
474,Chamaecyparis thyoides,0.38
475,Chilopsis,0.6
476,Chilopsis linearis,0.6
477,Chionanthus,0.84
478,Chionanthus domingensis,0.81
479,Chionanthus ligustrinus,0.86
480,Chorisia,0.29
481,Chorisia speciosa,0.29
482,Chrysobalanus,0.75
483,Chrysobalanus icaco,0.75
484,Chrysolepis,0.42
485,Chrysolepis chrysophylla,0.42
